"Package","Version"
"abind","1.4-8"
"askpass","1.2.1"
"assertthat","0.2.1"
"backports","1.5.0"
"base","4.5.2"
"base64enc","0.1-6"
"BH","1.90.0-1"
"Biobase","2.70.0"
"BiocGenerics","0.56.0"
"BiocManager","1.30.27"
"BiocParallel","1.44.0"
"BiocVersion","3.22.0"
"bit","4.6.0"
"bit64","4.6.0-1"
"blob","1.3.0"
"boot","1.3-32"
"broom","1.0.12"
"bslib","0.10.0"
"cachem","1.1.0"
"callr","3.7.6"
"caret","7.0-1"
"cellranger","1.1.0"
"class","7.3-23"
"cli","3.6.5"
"clipr","0.8.0"
"clock","0.7.4"
"cluster","2.1.8.2"
"codetools","0.2-20"
"colorspace","2.1-2"
"commonmark","2.0.0"
"compiler","4.5.2"
"conflicted","1.2.0"
"cpp11","0.5.3"
"crayon","1.5.3"
"crul","1.6.0"
"curl","7.0.0"
"data.table","1.18.2.1"
"datasets","4.5.2"
"DBI","1.3.0"
"dbplyr","2.5.2"
"DelayedArray","0.36.0"
"DESeq2","1.50.2"
"DEWSeq","1.24.0"
"diagram","1.6.5"
"digest","0.6.39"
"dplyr","1.2.0"
"dtplyr","1.3.3"
"e1071","1.7-17"
"ellipsis","0.3.2"
"evaluate","1.0.5"
"fansi","1.0.7"
"farver","2.1.2"
"fastmap","1.2.0"
"fdrtool","1.2.18"
"fontawesome","0.5.3"
"forcats","1.0.1"
"foreach","1.5.2"
"foreign","0.8-91"
"formatR","1.14"
"fs","1.6.6"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.69.0"
"future.apply","1.20.2"
"gargle","1.6.1"
"generics","0.1.4"
"GenomicRanges","1.62.1"
"ggplot2","4.0.2"
"gistr","0.9.0"
"glmnet","4.1-10"
"globals","0.19.0"
"glue","1.8.0"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"gower","1.0.2"
"graphics","4.5.2"
"grDevices","4.5.2"
"grid","4.5.2"
"gtable","0.3.6"
"hardhat","1.4.2"
"haven","2.5.5"
"hexbin","1.28.5"
"highr","0.11"
"hms","1.1.4"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpcode","0.3.0"
"httpuv","1.6.16"
"httr","1.4.8"
"ids","1.0.1"
"IHW","1.38.0"
"ipred","0.9-15"
"IRanges","2.44.0"
"IRdisplay","1.1"
"IRkernel","1.3.2"
"isoband","0.3.0"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KernSmooth","2.23-26"
"knitr","1.51"
"labeling","0.4.3"
"lambda.r","1.2.4"
"later","1.4.7"
"lattice","0.22-9"
"lava","1.8.2"
"lazyeval","0.2.2"
"lifecycle","1.0.5"
"listenv","0.10.0"
"lobstr","1.2.0"
"locfit","1.5-9.12"
"lpsymphony","1.38.0"
"lubridate","1.9.5"
"magrittr","2.0.4"
"maps","3.4.3"
"MASS","7.3-65"
"Matrix","1.7-4"
"MatrixGenerics","1.22.0"
"matrixStats","1.5.0"
"memoise","2.0.1"
"methods","4.5.2"
"mgcv","1.9-4"
"mime","0.13"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"munsell","0.5.1"
"nlme","3.1-168"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"openssl","2.3.5"
"otel","0.2.0"
"parallel","4.5.2"
"parallelly","1.46.1"
"pbdZMQ","0.3-14"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"plyr","1.8.9"
"prettyunits","1.2.0"
"pROC","1.19.0.1"
"processx","3.8.6"
"prodlim","2025.04.28"
"progress","1.2.3"
"progressr","0.18.0"
"promises","1.5.0"
"proxy","0.4-29"
"pryr","0.1.6"
"ps","1.9.1"
"purrr","1.2.1"
"quantmod","0.4.28"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.0"
"randomForest","4.7-1.2"
"rappdirs","0.3.4"
"rbokeh","0.5.2"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1"
"RcppArmadillo","15.2.3-1"
"RcppEigen","0.3.4.0.2"
"readr","2.2.0"
"readxl","1.4.5"
"recipes","1.3.1"
"rematch","2.0.0"
"rematch2","2.1.2"
"repr","1.1.7"
"reprex","2.1.1"
"reshape2","1.4.5"
"rlang","1.1.7"
"rmarkdown","2.30"
"rpart","4.1.24"
"rstudioapi","0.18.0"
"rvest","1.0.5"
"S4Arrays","1.10.1"
"S4Vectors","0.48.0"
"S7","0.2.1"
"sass","0.4.10"
"scales","1.4.0"
"selectr","0.5-1"
"Seqinfo","1.0.0"
"shape","1.4.6.1"
"shiny","1.13.0"
"slam","0.1-55"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"SparseArray","1.10.8"
"sparsevctrs","0.3.6"
"spatial","7.3-18"
"splines","4.5.2"
"SQUAREM","2021.1"
"stats","4.5.2"
"stats4","4.5.2"
"stringi","1.8.7"
"stringr","1.6.0"
"SummarizedExperiment","1.40.0"
"survival","3.8-6"
"sys","3.4.3"
"systemfonts","1.3.1"
"tcltk","4.5.2"
"textshaping","1.0.4"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.58"
"tools","4.5.2"
"triebeard","0.4.1"
"TTR","0.24.4"
"tzdb","0.5.0"
"urltools","1.7.3.1"
"utf8","1.2.6"
"utils","4.5.2"
"uuid","1.2-2"
"vctrs","0.7.1"
"viridisLite","0.4.3"
"vroom","1.7.0"
"withr","3.0.2"
"xfun","0.56"
"xml2","1.5.2"
"xtable","1.8-8"
"xts","0.14.1"
"XVector","0.50.0"
"yaml","2.3.12"
"zoo","1.8-15"
