# packages in environment at /work/pa-hilario/anaconda3/envs/merge_peaks:
#
# Name                    Version                   Build  Channel
_openmp_mutex             4.5                      20_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
argcomplete               3.6.3                    pypi_0    pypi
bedtools                  2.31.1               h13024bc_3    bioconda
binutils_impl_linux-64    2.45.1          default_hfdba357_101    conda-forge
blas                      2.305                  openblas    conda-forge
blas-devel                3.11.0          5_h1ea3ea9_openblas    conda-forge
brotli                    1.2.0                hed03a55_1    conda-forge
brotli-bin                1.2.0                hb03c661_1    conda-forge
bwidget                   1.10.1               ha770c72_1    conda-forge
bzip2                     1.0.8                hda65f42_9    conda-forge
c-ares                    1.34.6               hb03c661_0    conda-forge
ca-certificates           2026.2.25            hbd8a1cb_0    conda-forge
cachecontrol              0.14.3                   pypi_0    pypi
cairo                     1.18.4               h3394656_0    conda-forge
certifi                   2025.8.3           pyhd8ed1ab_0    conda-forge
charset-normalizer        3.4.6                    pypi_0    pypi
coloredlogs               15.0.1                   pypi_0    pypi
curl                      8.19.0               hcf29cc6_0    conda-forge
cwl-upgrader              1.2.12                   pypi_0    pypi
cwl-utils                 0.40                     pypi_0    pypi
cwlref-runner             1.0                      pypi_0    pypi
cwltool                   3.1.20251031082601          pypi_0    pypi
cycler                    0.12.1             pyhd8ed1ab_1    conda-forge
filelock                  3.19.1                   pypi_0    pypi
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 h77eed37_3    conda-forge
fontconfig                2.17.1               h27c8c51_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                    hc364b38_1    conda-forge
fonttools                 4.59.1           py39heb7d2ae_0    conda-forge
freetype                  2.14.2               ha770c72_0    conda-forge
fribidi                   1.0.16               hb03c661_0    conda-forge
gcc_impl_linux-64         15.2.0              he420e7e_18    conda-forge
gfortran_impl_linux-64    15.2.0              h281d09f_18    conda-forge
graphite2                 1.3.14               hecca717_2    conda-forge
gsl                       2.7                  he838d99_0    conda-forge
gxx_impl_linux-64         15.2.0              hda75c37_18    conda-forge
harfbuzz                  11.2.1               h3beb420_0    conda-forge
htslib                    1.23                 h566b1c6_0    bioconda
humanfriendly             10.0                     pypi_0    pypi
icu                       75.1                 he02047a_0    conda-forge
idna                      3.11                     pypi_0    pypi
idr                       2.0.4.2         py39h031d066_12    bioconda
isodate                   0.7.2                    pypi_0    pypi
kernel-headers_linux-64   5.14.0               he073ed8_3    conda-forge
keyutils                  1.6.3                hb9d3cd8_0    conda-forge
kiwisolver                1.4.7            py39h74842e3_0    conda-forge
krb5                      1.22.2               ha1258a1_0    conda-forge
lcms2                     2.17                 h717163a_0    conda-forge
ld_impl_linux-64          2.45.1          default_hbd61a6d_101    conda-forge
lerc                      4.1.0                hdb68285_0    conda-forge
libblas                   3.11.0          5_h4a7cf45_openblas    conda-forge
libbrotlicommon           1.2.0                hb03c661_1    conda-forge
libbrotlidec              1.2.0                hb03c661_1    conda-forge
libbrotlienc              1.2.0                hb03c661_1    conda-forge
libcblas                  3.11.0          5_h0358290_openblas    conda-forge
libcurl                   8.19.0               hcf29cc6_0    conda-forge
libdeflate                1.22                 hb9d3cd8_0    conda-forge
libedit                   3.1.20250104    pl5321h7949ede_0    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libexpat                  2.7.4                hecca717_0    conda-forge
libffi                    3.4.6                h2dba641_1    conda-forge
libfreetype               2.14.2               ha770c72_0    conda-forge
libfreetype6              2.14.2               h73754d4_0    conda-forge
libgcc                    15.2.0              he0feb66_18    conda-forge
libgcc-devel_linux-64     15.2.0             hcc6f6b0_118    conda-forge
libgcc-ng                 15.2.0              h69a702a_18    conda-forge
libgfortran               15.2.0              h69a702a_18    conda-forge
libgfortran-ng            15.2.0              h69a702a_18    conda-forge
libgfortran5              15.2.0              h68bc16d_18    conda-forge
libglib                   2.84.1               h2ff4ddf_0    conda-forge
libgomp                   15.2.0              he0feb66_18    conda-forge
libiconv                  1.18                 h3b78370_2    conda-forge
libjpeg-turbo             3.1.2                hb03c661_0    conda-forge
liblapack                 3.11.0          5_h47877c9_openblas    conda-forge
liblapacke                3.11.0          5_h6ae95b6_openblas    conda-forge
liblzma                   5.8.2                hb03c661_0    conda-forge
libnghttp2                1.67.0               had1ee68_0    conda-forge
libnsl                    2.0.1                hb9d3cd8_1    conda-forge
libopenblas               0.3.30          pthreads_h94d23a6_4    conda-forge
libpng                    1.6.55               h421ea60_0    conda-forge
libsanitizer              15.2.0              h90f66d4_18    conda-forge
libsqlite                 3.52.0               h0c1763c_0    conda-forge
libssh2                   1.11.1               hcf80075_0    conda-forge
libstdcxx                 15.2.0              h934c35e_18    conda-forge
libstdcxx-devel_linux-64  15.2.0             hd446a21_118    conda-forge
libstdcxx-ng              15.2.0              hdf11a46_18    conda-forge
libtiff                   4.7.0                hc4654cb_2    conda-forge
libuuid                   2.41.3               h5347b49_0    conda-forge
libwebp-base              1.6.0                hd42ef1d_0    conda-forge
libxcb                    1.17.0               h8a09558_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libzlib                   1.3.1                hb9d3cd8_2    conda-forge
lxml                      6.0.2                    pypi_0    pypi
make                      4.4.1                hb9d3cd8_2    conda-forge
markdown-it-py            3.0.0                    pypi_0    pypi
matplotlib-base           3.5.3            py39h19d6b11_2    conda-forge
mdurl                     0.1.2                    pypi_0    pypi
mistune                   3.1.4                    pypi_0    pypi
msgpack                   1.1.2                    pypi_0    pypi
munkres                   1.0.7                      py_1    bioconda
mypy-extensions           1.1.0                    pypi_0    pypi
ncurses                   6.5                  h2d0b736_3    conda-forge
networkx                  3.2.1                    pypi_0    pypi
numpy                     1.19.5           py39hd249d9e_3    conda-forge
openblas                  0.3.30          pthreads_h6ec200e_4    conda-forge
openjpeg                  2.5.3                h55fea9a_1    conda-forge
openssl                   3.6.1                h35e630c_1    conda-forge
packaging                 26.0               pyhcf101f3_0    conda-forge
pango                     1.56.3               h9ac818e_1    conda-forge
pcre2                     10.44                hc749103_2    conda-forge
perl                      5.26.2            h36c2ea0_1008    conda-forge
perl-app-cpanminus        1.7044                  pl526_1    bioconda
pillow                    11.3.0           py39h15c0740_0    conda-forge
pip                       25.2               pyh8b19718_0    conda-forge
pixman                    0.46.4               h54a6638_1    conda-forge
prov                      1.5.1                    pypi_0    pypi
psutil                    7.2.2                    pypi_0    pypi
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
pydot                     4.0.1                    pypi_0    pypi
pygments                  2.19.2                   pypi_0    pypi
pyparsing                 3.2.3              pyhe01879c_2    conda-forge
python                    3.9.23          hc30ae73_0_cpython    conda-forge
python-dateutil           2.9.0.post0        pyhe01879c_2    conda-forge
python_abi                3.9                      8_cp39    conda-forge
r-base                    4.4.2                hbab086e_1    conda-forge
rdflib                    7.4.0                    pypi_0    pypi
readline                  8.3                  h853b02a_0    conda-forge
requests                  2.32.5                   pypi_0    pypi
rich                      14.3.3                   pypi_0    pypi
rich-argparse             1.7.2                    pypi_0    pypi
ruamel-yaml               0.18.17                  pypi_0    pypi
ruamel-yaml-clib          0.2.15                   pypi_0    pypi
samtools                  1.23                 h96c455f_0    bioconda
schema-salad              8.9.20251102115403          pypi_0    pypi
scipy                     1.9.3            py39h32ae08f_2  
sed                       4.9                  h6688a6e_0    conda-forge
setuptools                80.9.0             pyhff2d567_0    conda-forge
six                       1.17.0             pyhe01879c_1    conda-forge
spython                   0.3.14                   pypi_0    pypi
sysroot_linux-64          2.34                 h087de78_3    conda-forge
tk                        8.6.13          noxft_h366c992_103    conda-forge
tktable                   2.10                 h8d826fa_7    conda-forge
typing-extensions         4.15.0                   pypi_0    pypi
tzdata                    2025c                hc9c84f9_1    conda-forge
unicodedata2              16.0.0           py39h8cd3c5a_0    conda-forge
urllib3                   2.6.3                    pypi_0    pypi
wheel                     0.45.1             pyhd8ed1ab_1    conda-forge
xorg-libice               1.1.2                hb9d3cd8_0    conda-forge
xorg-libsm                1.2.6                he73a12e_0    conda-forge
xorg-libx11               1.8.13               he1eb515_0    conda-forge
xorg-libxau               1.0.12               hb03c661_1    conda-forge
xorg-libxdmcp             1.1.5                hb03c661_1    conda-forge
xorg-libxext              1.3.7                hb03c661_0    conda-forge
xorg-libxrender           0.9.12               hb9d3cd8_0    conda-forge
xorg-libxt                1.3.1                hb9d3cd8_0    conda-forge
zstd                      1.5.7                hb78ec9c_6    conda-forge
