# packages in environment at /work/pa-hilario/anaconda3/envs/skipper:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
aioeasywebdav             2.4.0              pyha770c72_0    conda-forge
aiohappyeyeballs          2.6.1              pyhd8ed1ab_0    conda-forge
aiohttp                   3.12.15         py311h3778330_0    conda-forge
aiosignal                 1.4.0              pyhd8ed1ab_0    conda-forge
alsa-lib                  1.2.9                hd590300_0    conda-forge
amply                     0.1.6              pyhd8ed1ab_1    conda-forge
annotated-types           0.7.0              pyhd8ed1ab_1    conda-forge
appdirs                   1.4.4              pyhd8ed1ab_1    conda-forge
attrs                     25.3.0             pyh71513ae_0    conda-forge
bcrypt                    4.3.0           py311hdae7d1d_1    conda-forge
bedtools                  2.31.0               hf5e1c6e_3    bioconda
binutils_impl_linux-64    2.44                 h4bf12b8_1    conda-forge
bioconductor-biobase      2.54.0            r41hc0cfd56_2    bioconda
bioconductor-biocgenerics 0.40.0            r41hdfd78af_0    bioconda
bioconductor-biocio       1.4.0             r41hdfd78af_0    bioconda
bioconductor-biocparallel 1.28.3            r41hc247a5b_1    bioconda
bioconductor-biostrings   2.62.0            r41hc0cfd56_2    bioconda
bioconductor-delayedarray 0.20.0            r41hc0cfd56_2    bioconda
bioconductor-fgsea        1.20.0            r41hc247a5b_2    bioconda
bioconductor-genomeinfodb 1.30.1            r41hdfd78af_0    bioconda
bioconductor-genomeinfodbdata 1.2.7             r41hdfd78af_2    bioconda
bioconductor-genomicalignments 1.30.0            r41hc0cfd56_2    bioconda
bioconductor-genomicranges 1.46.1            r41hc0cfd56_1    bioconda
bioconductor-iranges      2.28.0            r41hc0cfd56_2    bioconda
bioconductor-matrixgenerics 1.6.0             r41hdfd78af_0    bioconda
bioconductor-rhtslib      1.26.0            r41hc0cfd56_2    bioconda
bioconductor-rsamtools    2.10.0            r41hc247a5b_2    bioconda
bioconductor-rtracklayer  1.54.0            r41hd029910_0    bioconda
bioconductor-s4vectors    0.32.4            r41hc0cfd56_0    bioconda
bioconductor-summarizedexperiment 1.24.0            r41hdfd78af_0    bioconda
bioconductor-xvector      0.34.0            r41hc0cfd56_2    bioconda
bioconductor-zlibbioc     1.40.0            r41hc0cfd56_2    bioconda
boto3                     1.39.16            pyhd8ed1ab_0    conda-forge
botocore                  1.39.17         pyge310_1234567_0    conda-forge
brotli-python             1.1.0           py311hfdbb021_3    conda-forge
bwidget                   1.10.1               ha770c72_1    conda-forge
bzip2                     1.0.8                h4bc722e_7    conda-forge
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
ca-certificates           2025.9.9             h06a4308_0  
cachetools                5.5.2              pyhd8ed1ab_0    conda-forge
cairo                     1.16.0            hbbf8b49_1016    conda-forge
certifi                   2025.10.5       py311h06a4308_0  
cffi                      1.17.1          py311hf29c0ef_0    conda-forge
charset-normalizer        3.4.2              pyhd8ed1ab_0    conda-forge
click                     8.2.1              pyh707e725_0    conda-forge
coin-or-cbc               2.10.12              h8b142ea_1    conda-forge
coin-or-cgl               0.60.7               h516709c_0    conda-forge
coin-or-clp               1.17.8               h1ee7a9c_0    conda-forge
coin-or-osi               0.108.10             haf5fa05_0    conda-forge
coin-or-utils             2.11.11              hee58242_0    conda-forge
