"chromosome","begin","end","width","strand","unique_id","gene_id","gene_name","gene_type","gene_region","Nr_of_region","Total_nr_of_region","window_number","baseMean","log2FoldChange","lfcSE","stat","pvalue","pSlidingWindows","pSlidingWindows.adj","p_adj_IHW","significant"
"chr1",1020199,1020249,50,"+","ENSG00000188157.15:5UTR0001W00005","ENSG00000188157.15","AGRN","protein_coding","5UTR",1,38,5,6.61378898678794,6.96905312704285,3.20638226791774,2.17349415781563,0.0148715725235249,0.0446147175705748,0.16832477931059,1,FALSE
"chr1",1020219,1020269,50,"+","ENSG00000188157.15:5UTR0001W00006","ENSG00000188157.15","AGRN","protein_coding","5UTR",1,38,6,9.15723606707094,7.43909921888668,2.92902449380301,2.53978730277802,0.00554599508977667,0.01663798526933,0.157022477169529,0.0403897621678162,FALSE
"chr1",1020239,1020289,50,"+","ENSG00000188157.15:5UTR0001W00007","ENSG00000188157.15","AGRN","protein_coding","5UTR",1,38,7,8.14068381300987,7.26761437539137,3.02423419882833,2.40312551792683,0.00812780339973098,0.0243834101991929,0.165146252138822,0.0452719653219432,FALSE
"chr1",1020299,1020349,50,"+","ENSG00000188157.15:5UTR0001W00010","ENSG00000188157.15","AGRN","protein_coding","5UTR",1,38,10,6.70160134232184,6.98107556964669,3.22861765441431,2.16224908517794,0.0152994909562777,0.045898472868833,0.16886472189992,1,FALSE
"chr1",1020319,1020369,50,"+","ENSG00000188157.15:5UTR0001W00011","ENSG00000188157.15","AGRN","protein_coding","5UTR",1,38,11,7.29562337975596,7.10339215269869,3.15691844396551,2.25010315558734,0.012221198912556,0.0366635967376679,0.165973322128392,1,FALSE
"chr1",1020339,1020373,34,"+","ENSG00000188157.15:5UTR0001W00012","ENSG00000188157.15","AGRN","protein_coding","5UTR",1,38,12,6.95677262840226,7.03369941484208,3.21512676840143,2.18768960650943,0.0143461098310117,0.0430383294930352,0.166202615419645,1,FALSE
"chr1",1035276,1035324,48,"+","ENSG00000188157.15:CDS0004W00757","ENSG00000188157.15","AGRN","protein_coding","CDS",4,38,757,3.72735826489061,6.15480849935471,4.3195704884063,1.42486585549979,0.0770979906422879,0.0770979906422879,0.187714449865563,1,FALSE
"chr1",1035644,1035694,50,"+","ENSG00000188157.15:intron0004W00775","ENSG00000188157.15","AGRN","protein_coding","intron",4,37,775,5.94022037434119,6.80450561661197,3.76490338551931,1.80735198751279,0.0353537074790034,0.0707074149580067,0.185341607337962,1,FALSE
"chr1",1035664,1035714,50,"+","ENSG00000188157.15:intron0004W00776","ENSG00000188157.15","AGRN","protein_coding","intron",4,37,776,5.94022037434119,6.80450561661197,3.76490338551931,1.80735198751279,0.0353537074790034,0.0707074149580067,0.185341607337962,1,FALSE
"chr1",1040664,1040714,50,"+","ENSG00000188157.15:CDS0005W01026","ENSG00000188157.15","AGRN","protein_coding","CDS",5,38,1026,5.08276127030538,6.60137326205654,3.90695608499108,1.68964613843916,0.0455478367074272,0.0455478367074272,0.16886472189992,1,FALSE
"chr1",1040824,1040874,50,"+","ENSG00000188157.15:CDS0005W01034","ENSG00000188157.15","AGRN","protein_coding","CDS",5,38,1034,3.38850751353692,6.01755118018142,4.46487620756421,1.34775319637905,0.0888688880309559,0.0888688880309559,0.193415508945609,1,FALSE
"chr1",1041477,1041527,50,"+","ENSG00000188157.15:CDS0007W01067","ENSG00000188157.15","AGRN","protein_coding","CDS",7,38,1067,5.25838598137317,6.63406249813201,3.45038334798244,1.92270302429183,0.0272586784114181,0.0817760352342543,0.192563900396014,1,FALSE
"chr1",1041497,1041547,50,"+","ENSG00000188157.15:CDS0007W01068","ENSG00000188157.15","AGRN","protein_coding","CDS",7,38,1068,7.81726593496628,4.7877245510786,2.81262835254559,1.70222437910982,0.0443566571700662,0.177426628680265,0.275841899494444,1,FALSE
"chr1",1041517,1041567,50,"+","ENSG00000188157.15:CDS0007W01069","ENSG00000188157.15","AGRN","protein_coding","CDS",7,38,1069,7.30692336280542,4.68968970115039,2.82761464099921,1.65853211861047,0.0486050551047963,0.194420220419185,0.292054430212613,1,FALSE
"chr1",1041537,1041587,50,"+","ENSG00000188157.15:CDS0007W01070","ENSG00000188157.15","AGRN","protein_coding","CDS",7,38,1070,7.30692336280542,4.68968970115039,2.82761464099921,1.65853211861047,0.0486050551047963,0.145815165314389,0.251775171346599,1,FALSE
"chr1",1041597,1041647,50,"+","ENSG00000188157.15:CDS0007W01073","ENSG00000188157.15","AGRN","protein_coding","CDS",7,38,1073,4.91540233975885,6.54943918004991,3.54353606743694,1.8482778375633,0.032281080066986,0.064562160133972,0.179529730711453,1,FALSE
"chr1",1041617,1041667,50,"+","ENSG00000188157.15:CDS0007W01074","ENSG00000188157.15","AGRN","protein_coding","CDS",7,38,1074,4.57655158840516,6.44599763525238,3.62333563376572,1.77902305687124,0.037617990966713,0.075235981933426,0.187714449865563,1,FALSE
"chr1",1043338,1043388,50,"+","ENSG00000188157.15:CDS0009W01160","ENSG00000188157.15","AGRN","protein_coding","CDS",9,38,1160,3.74279113820071,3.68701879419208,3.48585246688331,1.05770936355451,0.145093982524481,0.290187965048963,0.379232401071471,1,FALSE
"chr1",1043358,1043408,50,"+","ENSG00000188157.15:CDS0009W01161","ENSG00000188157.15","AGRN","protein_coding","CDS",9,38,1161,4.49287212313189,6.41538993305781,3.62692237905494,1.76882471213223,0.0384615657038934,0.0769231314077869,0.187714449865563,1,FALSE
"chr1",1043862,1043912,50,"+","ENSG00000188157.15:CDS0011W01186","ENSG00000188157.15","AGRN","protein_coding","CDS",11,38,1186,5.00321469529274,6.56472245076069,3.49859990522766,1.87638559097643,0.0303011758518852,0.0909035275556557,0.195165209942454,1,FALSE
"chr1",1043882,1043932,50,"+","ENSG00000188157.15:CDS0011W01187","ENSG00000188157.15","AGRN","protein_coding","CDS",11,38,1187,3.23244856603985,3.47214834837833,3.71453288020267,0.934746968288749,0.174959357707469,0.699837430829876,0.777271223122485,1,FALSE
"chr1",1043902,1043952,50,"+","ENSG00000188157.15:CDS0011W01188","ENSG00000188157.15","AGRN","protein_coding","CDS",11,38,1188,3.23244856603985,3.47214834837833,3.71453288020267,0.934746968288749,0.174959357707469,0.699837430829876,0.777271223122485,1,FALSE
"chr1",1043922,1043972,50,"+","ENSG00000188157.15:CDS0011W01189","ENSG00000188157.15","AGRN","protein_coding","CDS",11,38,1189,4.67566392698852,4.02643593060407,3.22715668868848,1.24767289568466,0.106075435557363,0.424301742229454,0.509970855026929,1,FALSE
"chr1",1043962,1044012,50,"+","ENSG00000188157.15:CDS0011W01191","ENSG00000188157.15","AGRN","protein_coding","CDS",11,38,1191,6.44229716598078,6.93586340192563,3.23787758079648,2.14210180244661,0.016092645451323,0.048277936353969,0.171271988922055,1,FALSE
"chr1",1043982,1044023,41,"+","ENSG00000188157.15:CDS0011W01192","ENSG00000188157.15","AGRN","protein_coding","CDS",11,38,1192,3.64367879961735,6.12021597643131,3.94589865097557,1.55103222808781,0.0604469804083434,0.120893960816687,0.22780516689586,1,FALSE
"chr1",1044108,1044158,50,"+","ENSG00000188157.15:CDS0012W01198","ENSG00000188157.15","AGRN","protein_coding","CDS",12,38,1198,3.38850751353692,6.01755118018142,4.46487620756421,1.34775319637905,0.0888688880309559,0.0888688880309559,0.193415508945609,1,FALSE
"chr1",1045160,1045210,50,"+","ENSG00000188157.15:CDS0014W01250","ENSG00000188157.15","AGRN","protein_coding","CDS",14,38,1250,7.54666177557575,7.15913165548882,3.08691061745914,2.31918981229899,0.0101923733120186,0.0101923733120186,0.137489660988977,1,FALSE
"chr1",1045378,1045428,50,"+","ENSG00000188157.15:CDS0015W01261","ENSG00000188157.15","AGRN","protein_coding","CDS",15,38,1261,4.57655158840516,6.44599763525238,3.62333563376572,1.77902305687124,0.037617990966713,0.037617990966713,0.166202615419645,1,FALSE
"chr1",1045458,1045508,50,"+","ENSG00000188157.15:CDS0015W01265","ENSG00000188157.15","AGRN","protein_coding","CDS",15,38,1265,5.5135572674536,6.70032245120243,3.4119736354684,1.96376735785727,0.0247785385807166,0.0495570771614333,0.171271988922055,1,FALSE
"chr1",1045478,1045523,45,"+","ENSG00000188157.15:CDS0015W01266","ENSG00000188157.15","AGRN","protein_coding","CDS",15,38,1266,6.36275059096814,6.9050217636152,3.29262807291107,2.09711562032281,0.0179916707777807,0.0359833415555613,0.165973322128392,1,FALSE
"chr1",1046676,1046726,50,"+","ENSG00000188157.15:CDS0019W01324","ENSG00000188157.15","AGRN","protein_coding","CDS",19,38,1324,4.0662090162443,6.28010575370427,4.19500887196122,1.49704230560262,0.0671911251942886,0.0671911251942886,0.182299427319962,1,FALSE
"chr1",1047775,1047825,50,"+","ENSG00000188157.15:CDS0023W01379","ENSG00000188157.15","AGRN","protein_coding","CDS",23,38,1379,27.2330684761749,9.0068518379001,2.43347410903706,3.70123183330854,0.000107277665762994,0.000214555331525988,0.00901927041785173,0.00215589217249708,TRUE
"chr1",1047795,1047845,50,"+","ENSG00000188157.15:CDS0023W01380","ENSG00000188157.15","AGRN","protein_coding","CDS",23,38,1380,8.3958550990903,7.3107913297728,3.00315362056594,2.43437141533742,0.00745883953230314,0.0149176790646063,0.15473913337108,0.039387254302478,FALSE
"chr1",1048011,1048061,50,"+","ENSG00000188157.15:CDS0024W01391","ENSG00000188157.15","AGRN","protein_coding","CDS",24,38,1391,3.38850751353692,6.01755118018142,4.46487620756421,1.34775319637905,0.0888688880309559,0.177737776061912,0.275841899494444,1,FALSE
"chr1",1048031,1048081,50,"+","ENSG00000188157.15:CDS0024W01392","ENSG00000188157.15","AGRN","protein_coding","CDS",24,38,1392,3.38850751353692,6.01755118018142,4.46487620756421,1.34775319637905,0.0888688880309559,0.177737776061912,0.275841899494444,1,FALSE
"chr1",1048271,1048321,50,"+","ENSG00000188157.15:CDS0024W01404","ENSG00000188157.15","AGRN","protein_coding","CDS",24,38,1404,9.416540243412,7.47207724977843,2.95331237441206,2.53006668529805,0.00570204249150999,0.01140408498302,0.140515160191491,0.0356963262069463,FALSE
"chr1",1048291,1048341,50,"+","ENSG00000188157.15:CDS0024W01405","ENSG00000188157.15","AGRN","protein_coding","CDS",24,38,1405,9.416540243412,7.47207724977843,2.95331237441206,2.53006668529805,0.00570204249150999,0.01140408498302,0.140515160191491,0.0356963262069463,FALSE
"chr1",1049395,1049445,50,"+","ENSG00000188157.15:CDS0026W01461","ENSG00000188157.15","AGRN","protein_coding","CDS",26,38,1461,3.38850751353692,6.01755118018142,4.46487620756421,1.34775319637905,0.0888688880309559,0.177737776061912,0.275841899494444,1,FALSE
"chr1",1049415,1049451,36,"+","ENSG00000188157.15:CDS0026W01462","ENSG00000188157.15","AGRN","protein_coding","CDS",26,38,1462,3.38850751353692,6.01755118018142,4.46487620756421,1.34775319637905,0.0888688880309559,0.177737776061912,0.275841899494444,1,FALSE
"chr1",1049585,1049635,50,"+","ENSG00000188157.15:CDS0027W01471","ENSG00000188157.15","AGRN","protein_coding","CDS",27,38,1471,4.0662090162443,6.28010575370427,4.19500887196122,1.49704230560262,0.0671911251942886,0.201573375582866,0.297112881409427,1,FALSE
"chr1",1049605,1049655,50,"+","ENSG00000188157.15:CDS0027W01472","ENSG00000188157.15","AGRN","protein_coding","CDS",27,38,1472,6.43816427572014,6.9416438799867,3.64585660727962,1.90398159547099,0.0284562905877492,0.0853688717632477,0.193415508945609,1,FALSE
"chr1",1049625,1049675,50,"+","ENSG00000188157.15:CDS0027W01473","ENSG00000188157.15","AGRN","protein_coding","CDS",27,38,1473,6.43816427572014,6.9416438799867,3.64585660727962,1.90398159547099,0.0284562905877492,0.0853688717632477,0.193415508945609,1,FALSE
"chr1",1051292,1051342,50,"+","ENSG00000188157.15:CDS0033W01558","ENSG00000188157.15","AGRN","protein_coding","CDS",33,38,1558,2.97727727995943,3.35028979385557,4.21690189484729,0.794490808038326,0.213454879023915,0.426909758047829,0.510671957194048,1,FALSE
"chr1",1051312,1051362,50,"+","ENSG00000188157.15:CDS0033W01559","ENSG00000188157.15","AGRN","protein_coding","CDS",33,38,1559,3.72735826489061,6.15480849935471,4.3195704884063,1.42486585549979,0.0770979906422879,0.154195981284576,0.256360785020628,1,FALSE
"chr1",1055855,1055897,42,"+","ENSG00000242590.1:intron0001W00042","ENSG00000242590.1","RP11-54O7.14","lncRNA","intron",1,1,42,4.91953523001948,6.53651871087891,3.53205303918265,1.85062869621899,0.0321114942223307,0.0963344826669922,0.202605876146454,1,FALSE
"chr1",1055861,1055911,50,"+","ENSG00000188157.15:3UTR0038W01788","ENSG00000188157.15","AGRN","protein_coding","3UTR",38,38,1788,4.91953523001948,6.53651871087891,3.53205303918265,1.85062869621899,0.0321114942223307,0.0963344826669922,0.202605876146454,1,FALSE
"chr1",1055881,1055931,50,"+","ENSG00000188157.15:3UTR0038W01789","ENSG00000188157.15","AGRN","protein_coding","3UTR",38,38,1789,4.91953523001948,6.53651871087891,3.53205303918265,1.85062869621899,0.0321114942223307,0.0963344826669922,0.202605876146454,1,FALSE
"chr1",1623452,1623502,50,"+","ENSG00000197530.13:CDS0004W00401","ENSG00000197530.13","MIB2","protein_coding","CDS",4,14,401,10.09837463638,7.57207652626112,3.2960937097888,2.29728799996597,0.0108011729486754,0.0108011729486754,0.139583399132446,0.0343555160844084,FALSE
"chr1",1626453,1626503,50,"+","ENSG00000197530.13:3UTR0008W00552","ENSG00000197530.13","MIB2","protein_coding","3UTR",8,14,552,14.2565288984189,8.07096857761468,3.08168219616191,2.61901392287196,0.004409217412576,0.00881843482515199,0.128319532391635,0.0331412899678892,FALSE
"chr1",1626473,1626523,50,"+","ENSG00000197530.13:3UTR0008W00553","ENSG00000197530.13","MIB2","protein_coding","3UTR",8,14,553,14.2565288984189,8.07096857761468,3.08168219616191,2.61901392287196,0.004409217412576,0.00881843482515199,0.128319532391635,0.03235643381427,FALSE
"chr1",1627504,1627554,50,"+","ENSG00000197530.13:exon0010W00604","ENSG00000197530.13","MIB2","protein_coding","exon",10,14,604,5.42987780218033,6.67500783682018,3.46998441868899,1.92364202008207,0.0271997350924408,0.0543994701848815,0.173053100097683,1,FALSE
"chr1",1627524,1627574,50,"+","ENSG00000197530.13:exon0010W00605","ENSG00000197530.13","MIB2","protein_coding","exon",10,14,605,6.10757930488772,6.84748379676583,3.31254048109112,2.06713965787079,0.0193604980739886,0.0387209961479772,0.166202615419645,0.529994129759518,FALSE
"chr1",2228338,2228388,50,"+","ENSG00000157933.10:5UTR0001W00002","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,2,6.36275059096814,6.9050217636152,3.29262807291107,2.09711562032281,0.0179916707777807,0.053975012333342,0.173053100097683,1,FALSE
"chr1",2228358,2228408,50,"+","ENSG00000157933.10:5UTR0001W00003","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,3,7.21194391448269,7.08464742719887,3.21454474668857,2.20393492251027,0.0137644605601717,0.0412933816805152,0.166202615419645,1,FALSE
"chr1",2228378,2228428,50,"+","ENSG00000157933.10:5UTR0001W00004","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,4,6.53424241177531,6.94235444531653,3.66649821574419,1.8934563817611,0.0291486017811788,0.116594407124715,0.224424471245792,1,FALSE
"chr1",2228418,2228468,50,"+","ENSG00000157933.10:5UTR0001W00006","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,6,11.0725378139382,6.27326832830721,2.65715055407073,2.36090059657953,0.00911530825377606,0.0364612330151042,0.165973322128392,0.0585844255089246,FALSE
"chr1",2228438,2228488,50,"+","ENSG00000157933.10:5UTR0001W00007","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,7,15.6873455885856,8.21479366378163,2.59250552281373,3.16866968710093,0.000765691633711658,0.00229707490113497,0.0650015786593671,0.0168940724136022,FALSE
"chr1",2228458,2228508,50,"+","ENSG00000157933.10:5UTR0001W00008","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,8,12.1232133639809,7.84573060874657,2.73749187396207,2.86602882126227,0.00207828200842444,0.00623484602527332,0.109713957188918,0.0268403399441149,FALSE
"chr1",2228598,2228648,50,"+","ENSG00000157933.10:5UTR0001W00015","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,15,4.40505976759799,6.39535635952239,4.08647268552585,1.56500651091454,0.058790691333755,0.176372074001265,0.275841899494444,1,FALSE
"chr1",2228618,2228668,50,"+","ENSG00000157933.10:5UTR0001W00016","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,16,5.76046277301276,6.78154940266512,3.76337924614263,1.80198405717841,0.0357739569617831,0.143095827847132,0.249228283283624,1,FALSE
"chr1",2228638,2228688,50,"+","ENSG00000157933.10:5UTR0001W00017","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,17,7.97635908499154,4.84080630080104,2.84549056963817,1.70122029306763,0.0444508143099886,0.222254071549943,0.31911242404704,0.26368470858103,FALSE
"chr1",2228658,2228708,50,"+","ENSG00000157933.10:5UTR0001W00018","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,18,8.65406058769892,4.96123505125369,2.79094953513368,1.77761546341111,0.0377335161691571,0.188667580845786,0.286025428664248,0.241945482271849,FALSE
"chr1",2228678,2228728,50,"+","ENSG00000157933.10:5UTR0001W00019","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,19,8.0600385502648,4.85955985326174,3.10490436605604,1.56512384290745,0.0587769369935389,0.235107747974155,0.327287550208359,0.266325599185174,FALSE
"chr1",2228698,2228748,50,"+","ENSG00000157933.10:5UTR0001W00020","ENSG00000157933.10","SKI","protein_coding","5UTR",1,9,20,4.74391051895169,6.5020537138278,3.99096525854071,1.62919326343755,0.0516360563073853,0.154908168922156,0.256360785020628,1,FALSE
"chr1",2228966,2229016,50,"+","ENSG00000157933.10:CDS0001W00033","ENSG00000157933.10","SKI","protein_coding","CDS",1,9,33,4.1540213717782,6.30132037993936,3.72246510541331,1.69278158464825,0.0452485246078084,0.0904970492156168,0.195165209942454,1,FALSE
"chr1",2228986,2229036,50,"+","ENSG00000157933.10:CDS0001W00034","ENSG00000157933.10","SKI","protein_coding","CDS",1,9,34,5.00321469529274,6.56472245076069,3.49859990522766,1.87638559097643,0.0303011758518852,0.0606023517037704,0.17506216006435,1,FALSE
"chr1",2275411,2275461,50,"+","ENSG00000157933.10:intron0003W02355","ENSG00000157933.10","SKI","protein_coding","intron",3,8,2355,6.07345600890613,5.38694994006489,3.49409299249255,1.54173055829921,0.0615695414362908,0.184708624308872,0.281590716709967,1,FALSE
"chr1",2275431,2275481,50,"+","ENSG00000157933.10:intron0003W02356","ENSG00000157933.10","SKI","protein_coding","intron",3,8,2356,10.231610270945,6.15343343888668,3.10145913358889,1.98404466215428,0.0236254306307034,0.0708762918921102,0.185377137011774,0.0940408795009787,FALSE
"chr1",2275451,2275501,50,"+","ENSG00000157933.10:intron0003W02357","ENSG00000157933.10","SKI","protein_coding","intron",3,8,2357,10.09837463638,7.57207652626112,3.2960937097888,2.29728799996597,0.0108011729486754,0.0324035188460262,0.165146252138822,0.0529181325284599,FALSE
"chr1",2304332,2304382,50,"+","ENSG00000157933.10:CDS0007W03802","ENSG00000157933.10","SKI","protein_coding","CDS",7,9,3802,3.72735826489061,6.15480849935471,4.3195704884063,1.42486585549979,0.0770979906422879,0.0770979906422879,0.187714449865563,1,FALSE
"chr1",3163916,3163966,50,"+","ENSG00000142611.17:intron0001W04739","ENSG00000142611.17","PRDM16","protein_coding","intron",1,19,4739,5.94022037434119,6.80450561661197,3.76490338551931,1.80735198751279,0.0353537074790034,0.0353537074790034,0.165973322128392,1,FALSE
"chr1",3186304,3186354,50,"+","ENSG00000142611.17:CDS0002W05858","ENSG00000142611.17","PRDM16","protein_coding","CDS",2,20,5858,11.7089489278752,7.78537053023539,2.85864266299257,2.72345005936673,0.00323019911150945,0.00646039822301891,0.110553222485717,0.0278882219309169,FALSE
"chr1",3186324,3186374,50,"+","ENSG00000142611.17:CDS0002W05859","ENSG00000142611.17","PRDM16","protein_coding","CDS",2,20,5859,11.7089489278752,7.78537053023539,2.85864266299257,2.72345005936673,0.00323019911150945,0.00646039822301891,0.110553222485717,0.0284826153781751,FALSE
"chr1",3625072,3625122,50,"+","ENSG00000158109.15:CDS0001W00004","ENSG00000158109.15","TPRG1L","protein_coding","CDS",1,5,4,9.24918131286547,7.44371396675403,3.08700580988766,2.4113054607516,0.00794776465647022,0.0158955293129404,0.157022477169529,0.0399109921998709,FALSE
"chr1",3625092,3625142,50,"+","ENSG00000158109.15:CDS0001W00005","ENSG00000158109.15","TPRG1L","protein_coding","CDS",1,5,5,9.24918131286547,7.44371396675403,3.08700580988766,2.4113054607516,0.00794776465647022,0.0158955293129404,0.157022477169529,0.0409832555181983,FALSE
"chr1",3717374,3717424,50,"+","ENSG00000078900.15:intron0006W03247","ENSG00000078900.15","TP73","protein_coding","intron",6,15,3247,10.4372253877337,7.61853714750432,3.01143165225307,2.5298721761805,0.00570520437488211,0.0114104087497642,0.140515160191491,0.0356963262069463,FALSE
"chr1",3717394,3717444,50,"+","ENSG00000078900.15:intron0006W03248","ENSG00000078900.15","TP73","protein_coding","intron",6,15,3248,10.4372253877337,7.61853714750432,3.01143165225307,2.5298721761805,0.00570520437488211,0.0114104087497642,0.140515160191491,0.0356963262069463,FALSE
"chr1",7219451,7219501,50,"+","ENSG00000171735.19:intron0010W21703","ENSG00000171735.19","CAMTA1","protein_coding","intron",10,29,21703,3.45913139822575,4.47582539256303,3.72654309189424,1.20106631862076,0.114862738475955,0.229725476951909,0.324030435881905,1,FALSE
"chr1",7219459,7219509,50,"+","ENSG00000207056.1:exon0001W00006","ENSG00000207056.1","RNU1-8P","snRNA","exon",1,1,6,3.45913139822575,4.47582539256303,3.72654309189424,1.20106631862076,0.114862738475955,0.229725476951909,0.324030435881905,1,FALSE
"chr1",11908159,11908209,50,"+","ENSG00000285646.2:exon0001W00012","ENSG00000285646.2","RP5-934G17.7","lncRNA","exon",1,3,12,11.3637684557735,0.0610578778242081,2.42502373887909,0.0251782598435225,0.489956388795159,1,1,1,FALSE
"chr1",11908171,11908221,50,"+","ENSG00000199347.1:exon0001W00002","ENSG00000199347.1","RNU5E-1","snRNA","exon",1,1,2,14.3414137852151,0.13271106699089,2.29813700974974,0.0577472389278227,0.476974982614119,1,1,1,FALSE
"chr1",11908231,11908271,40,"+","ENSG00000199347.1:exon0001W00005","ENSG00000199347.1","RNU5E-1","snRNA","exon",1,1,5,4.35060485518353,0.0358091288069843,2.9143621423829,0.0122871239254108,0.495098270100415,1,1,1,FALSE
"chr1",15410031,15410081,50,"+","ENSG00000142634.13:CDS0001W00008","ENSG00000142634.13","EFHD2","protein_coding","CDS",1,5,8,5.17470651609991,6.60732603070116,3.49316669925737,1.89150034898302,0.029278792221598,0.058557584443196,0.173532267214171,1,FALSE
"chr1",15410051,15410101,50,"+","ENSG00000142634.13:CDS0001W00009","ENSG00000142634.13","EFHD2","protein_coding","CDS",1,5,9,6.19125877016098,6.87005246316628,3.27941948071659,2.09489896110061,0.0180899876219025,0.036179975243805,0.165973322128392,1,FALSE
"chr1",15429420,15429470,50,"+","ENSG00000142634.13:3UTR0005W00978","ENSG00000142634.13","EFHD2","protein_coding","3UTR",5,5,978,4.66436394393905,6.46220764498981,3.58293148967852,1.80360904572296,0.0356463085046869,0.0356463085046869,0.165973322128392,1,FALSE
"chr1",15429520,15429570,50,"+","ENSG00000142634.13:3UTR0005W00983","ENSG00000142634.13","EFHD2","protein_coding","3UTR",5,5,983,5.42987780218033,6.67500783682018,3.46998441868899,1.92364202008207,0.0271997350924408,0.0271997350924408,0.165146252138822,1,FALSE
